api_number,operator_name,well_name,latitude,longitude,status,parent,cik,serialid
50009100020000,ANCHORAGE OIL AND DEV,OLD WILDCAT 1,61.208612026181484,-149.77208994202951,I,,,1
50009100030000,UNION OIL CO OF CALIFORNIA,KNIK ARM ST 1,61.328845518041639,-149.91475339735592,I,,,2
50009100040000,ATLANTIC RICHFIELD CO,LORRAINE ST 1,61.295318127295680,-149.99472200280212,I,,,3
50009100050000,ALASKA GULF OIL DEV,ALASKA GULF 1,61.421382580438539,-149.81021653017368,I,,,4
50009100060000,UNION OIL CO OF CALIFORNIA,KNIK ARM 2,61.511532058930030,-149.84553366982217,I,,,5
50009100070000,UNION OIL CO OF CALIFORNIA,FISH CK UNIT 12-8,61.494902696745584,-149.86135392962157,I,,,6
50009100080000,UNION OIL CO OF CALIFORNIA,KNIK ARM 1,61.511395320399735,-149.93997277646349,I,,,7
50009100090000,AUSTRAL OIL CO,NEEDHAM 1,61.584206143049727,-149.33133072228313,I,,,8
50009100100000,WALLACE MINING CO,WALLACE-KNUTSON 1,61.544216037259638,-149.41395862163307,I,,,9
50009100110000,WALLACE MINING CO,WALLACE-KNUTSON 1-A,61.544298079754832,-149.41395878135742,I,,,10
50009100120000,BP ALASKA INC,WASILLA ST 1,61.516728114784605,-149.45136973618338,I,BP PLC,0000313807,11
50009100130000,UNION OIL CO OF CALIFORNIA,PITTMAN 1,61.605563343680622,-149.63820414318738,I,,,12
50009100140000,ANCHORAGE GAS AND OIL DEV,ROSETTA 1,61.641475642028780,-149.85940866292592,I,,,13
50009100150000,ANCHORAGE GAS AND OIL DEV,ROSETTA 2,61.641565887402457,-149.85912703544969,I,,,14
50009100160000,ANCHORAGE GAS AND OIL DEV,ROSETTA 3,61.635024465164932,-149.83878427170228,I,,,15
50009100170000,ANCHORAGE GAS AND OIL DEV,ROSETTA 4,61.638327992783161,-149.83818127228813,I,,,16
50009100180000,HACKATHORN DRILLING CO,ROSETTA 4-A,61.638286972158774,-149.83861860525545,I,,,17
50009100190000,PETERSON OIL ASSOC,CHICKALOON 1,61.796852814364165,-148.50747872656834,I,,,18
50009100200000,ALEDO OIL CO,EUREKA 1,,,I,,,19
50009100210000,ALEDO OIL CO,EUREKA 2,61.952198529575732,-147.14196083081754,I,,,20
50023100020000,U S DEPT OF INTERIOR,SIMPSON CORE TEST 23,71.034444444444446,-154.63388888888900,I,,,21
50009100220000,U S BUREAU OF MINES,HOUSTON CORE HOLE 1,61.641169354699869,-149.84764457374521,I,,,22
50009100230000,U S BUREAU OF MINES,HOUSTON CORE HOLE 2,61.641475642028780,-149.85940866292592,I,,,23
50009100240000,U S BUREAU OF MINES,HOUSTON CORE HOLE 3,61.645933210176523,-149.87333321851747,I,,,24
50009100240100,ANCHORAGE OIL AND GAS CO,HOUSTON CORE HOLE 3A,,,I,,,25
50009100259500,AUSTRAL OIL CO,FEDERAL 1-3XX,61.675034074147327,-149.26319876850764,I,,,26
50009200010000,PAN AMERICAN,BIG LAKE USA 1,61.417757332737764,-149.91421473322757,I,BP PLC,0000313807,27
50009200020000,HILL PRODUCTION CO,FISHHOOK 1,61.675165339148315,-149.26307810086689,I,,,28
50009200030000,LOVELY LUM,BEAVER LAKES ST 1,61.612686386636277,-149.85265154459287,I,,,29
50009200039000,LITTLE BEAR PETROLEUM CORP,BEAVER LAKES ST 1-B,61.612686386636277,-149.85265154459287,I,,,30
50009200039100,HARBINGER OIL CORP,BEAVER LAKES ST 1-BXX,61.601942565500579,-149.85260949514421,I,,,31
50009200040000,AMERICAN QUASAR PETROLEUM CO,AM QUASAR BIG LK 1,61.555044716529665,-149.80107166473496,I,,,32
50009200050000,GREAT PLAINS (AMERICAN) INC,HORSESHOE LK ST 1,61.589210700907032,-149.91479759917573,I,,,33
50009200060000,ARCO ALASKA INC,BIG LAKE BLT-01,61.554601687055602,-149.80316565011475,I,BP PLC,0000313807,34
50009200069000,PIONEER NATURAL RESOURCES ALASKA INC,PIONEER UNIT BLT-01,61.554601687055602,-149.80316565011475,I,PIONEER NATURAL RESOURCES,0001038357,35
50009200080000,"STATE OF ALASKA, DNR",ALASKA 94 CBM 1,61.600949867426522,-149.50980323045275,I,,,36
50009200090000,GROWTH RESOURCE INTERNATIONAL,HOUSTON 1,61.633201297761538,-149.81931428727688,I,,,37
50009200100000,GROWTH RESOURCE INTERNATIONAL,HOUSTON 2,61.632301592594999,-149.82319729205690,I,,,38
50009200110000,GROWTH RESOURCE INTERNATIONAL,HOUSTON 3,61.632452001551130,-149.82676038314796,I,,,39
50009200120000,GROWTH RESOURCE INTERNATIONAL,HOUSTON 4,61.664695087634037,-149.59994819495137,I,,,40
50009200150000,PIONEER NATURAL RESOURCES ALASKA INC,PIONEER UNIT 1702 15DA-WD,61.560473185584840,-149.60219479094184,I,PIONEER NATURAL RESOURCES,0001038357,41
50009200160000,PIONEER NATURAL RESOURCES ALASKA INC,PIONEER UNIT 1702 14CC,61.559012825510820,-149.59629375516596,I,PIONEER NATURAL RESOURCES,0001038357,42
50009200170000,PIONEER NATURAL RESOURCES ALASKA INC,PIONEER UNIT 1702 15DD,61.557237984716132,-149.60371615954247,I,PIONEER NATURAL RESOURCES,0001038357,43
50009200180000,GROWTH RESOURCE INTERNATIONAL,HOUSTON 22,61.667320394302223,-149.83732402819524,I,,,44
50009200190000,PIONEER NATURAL RESOURCES ALASKA INC,BERING 3,61.618700016414365,-149.51160511430061,I,PIONEER NATURAL RESOURCES,0001038357,45
50009200200000,PIONEER NATURAL RESOURCES ALASKA INC,BARANOF 4,61.615913355272227,-149.51131530269046,I,PIONEER NATURAL RESOURCES,0001038357,46
50009200210000,PIONEER NATURAL RESOURCES ALASKA INC,LOWELL 2,61.617179519741860,-149.51653446090478,I,PIONEER NATURAL RESOURCES,0001038357,47
50009200220000,PIONEER NATURAL RESOURCES ALASKA INC,COOK 1,61.617245161583170,-149.51399735954109,I,PIONEER NATURAL RESOURCES,0001038357,48
