"api_number","operator_name","well_name","latitude","longitude","status","parent","cik","serialid"
"50009100020000","ANCHORAGE OIL AND DEV","OLD WILDCAT 1","61.2086120261815","-149.77208994203","I","",,"1"
"50009100030000","UNION OIL CO OF CALIFORNIA","KNIK ARM ST 1","61.3288455180416","-149.914753397356","I","",,"2"
"50009100040000","ATLANTIC RICHFIELD CO","LORRAINE ST 1","61.2953181272957","-149.994722002802","I","",,"3"
"50009100050000","ALASKA GULF OIL DEV","ALASKA GULF 1","61.4213825804385","-149.810216530174","I","",,"4"
"50009100060000","UNION OIL CO OF CALIFORNIA","KNIK ARM 2","61.51153205893","-149.845533669822","I","",,"5"
"50009100070000","UNION OIL CO OF CALIFORNIA","FISH CK UNIT 12-8","61.4949026967456","-149.861353929622","I","",,"6"
"50009100080000","UNION OIL CO OF CALIFORNIA","KNIK ARM 1","61.5113953203997","-149.939972776463","I","",,"7"
"50009100090000","AUSTRAL OIL CO","NEEDHAM 1","61.5842061430497","-149.331330722283","I","",,"8"
"50009100100000","WALLACE MINING CO","WALLACE-KNUTSON 1","61.5442160372596","-149.413958621633","I","",,"9"
"50009100110000","WALLACE MINING CO","WALLACE-KNUTSON 1-A","61.5442980797548","-149.413958781357","I","",,"10"
"50009100120000","BP ALASKA INC","WASILLA ST 1","61.5167281147846","-149.451369736183","I","BP PLC","313807","11"
"50009100130000","UNION OIL CO OF CALIFORNIA","PITTMAN 1","61.6055633436806","-149.638204143187","I","",,"12"
"50009100140000","ANCHORAGE GAS AND OIL DEV","ROSETTA 1","61.6414756420288","-149.859408662926","I","",,"13"
"50009100150000","ANCHORAGE GAS AND OIL DEV","ROSETTA 2","61.6415658874025","-149.85912703545","I","",,"14"
"50009100160000","ANCHORAGE GAS AND OIL DEV","ROSETTA 3","61.6350244651649","-149.838784271702","I","",,"15"
"50009100170000","ANCHORAGE GAS AND OIL DEV","ROSETTA 4","61.6383279927832","-149.838181272288","I","",,"16"
"50009100180000","HACKATHORN DRILLING CO","ROSETTA 4-A","61.6382869721588","-149.838618605255","I","",,"17"
"50009100190000","PETERSON OIL ASSOC","CHICKALOON 1","61.7968528143642","-148.507478726568","I","",,"18"
"50009100200000","ALEDO OIL CO","EUREKA 1",,,"I","",,"19"
"50009100210000","ALEDO OIL CO","EUREKA 2","61.9521985295757","-147.141960830818","I","",,"20"
"50023100020000","U S DEPT OF INTERIOR","SIMPSON CORE TEST 23","71.0344444444444","-154.633888888889","I","",,"21"
