factory_name,product_type,nike_inc_brands,events,address,city,state,postal_code,country,operating_region,total_workers,line_workers,percent_female_workers,percent_migrant_workers,contact_name,contact_phone,contact_fax,contact_email,subcons,serialid
" GOLF SALES WEST, INC.",EQUIPMENT,NIKE,College,1901 EASTMAN AVE,OXNARD,CALIFORNIA,93030,USA,North America,46,35,29,0,JEFF AUBERY,805 988 3363,805 988 3373,jaubery@golfsaleswest.com,,1
5B'S APPAREL,APPAREL,NIKE,College,1000 5BS,ZAINSVILLE,OHIO,43701,USA,North America,130,106,65,0,Todd Biles,740-454-8453,,t_biles@5bs.com,,2
"A & K DESIGNS, INC.",APPAREL,NIKE,College,8325 SE HARNEY ST.,PORTLAND,OREGON,97266,USA,North America,58,46,63,0,Paul Lee,503-238-6514,877-968-2889,paul.lee@akdesignsinc.com,,3
"ACABADOS Y SERIGRAFIA, SA (ACSA)",APPAREL,"CONVERSE, HURLEY",,KM.16.5 A SAN JUAN SACATEPEQUEZ,MIXCO,GUATEMALA,,GUATEMALA,Emerging Markets,250,238,40,0,,,,,,4
ADERB BENEFICIAMENTO DE PALMILHAS E BORDADOS,FOOTWEAR,CONVERSE,,"RUA ITAÃç,67 VILA NOVA",NOVO HAMBURGO,,93525280,BRAZIL,Emerging Markets,11,9,0,0,,,,,,5
ADORA FOOTWEAR LIMITED,FOOTWEAR,CONVERSE,,TAM DIEP INDUSTRIAL ZONE,TAM DIEP TOWN,NINH BINH PROVINCE.,,VIETNAM,Emerging Markets,7461,6430,93,0.6,,,,,,6
ADVANCED PRINTING (THAILAND) COMPANY LIMITED,APPAREL,NIKE,,"491 MOO 4, BANTHUM",KHONKAEN,CENTRAL,40000,THAILAND,Emerging Markets,284,156,83,0,,,,,,7
AKH S. DE R.L.,APPAREL,NIKE,,"ZONA LIBRE GREEN VALLEY, KM 23 CARRETERA A OCCIDENTE",SANTA BARBARA,YORO,0,HONDURAS,Emerging Markets,649,612,35,0.7,,,,,,8
ALL WELLS INTERNATIONAL,EQUIPMENT,NIKE,College,TOC TIEN COMMUNE TAN THANH DISTRICT,BA RIA,VUNG TAU PROVINCE,,VIETNAM,Emerging Markets,1865,1279,73,0,Samantha Lai,0973-496550,064-3948169,samantha@allwells-mortex.com,,9
ANDBRAVA SRL,EQUIPMENT,CONVERSE,,"SARGENTO CABRAL  - PASAJE 62, NÂº 1071",BUENOS AIRES ,BUENOS AIRES ,"Pasaje 62, NÂº 1071",ARGENTINA,Emerging Markets,10,8,25,0,,,,,,10
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,EQUIPMENT,NIKE,,"ECONOMIC DEVELOPMENT ZONE, JINZHAI COUNTY",,ANHUI,,CHINA,Greater China,467,379,90,1.6,,,,,,11
ANIGER CALÃ‡ADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FOOTWEAR,NIKE,,"RUA ARMINDO ELTZ, 51  - QUATRO COLÃ”NIAS",CAMPO BOM â€“ RS,RS,93700-000,BRAZIL,Emerging Markets,301,105,49,0,,,,," Golf Sales West, Inc., Flecksteel Industria de Artefatos Metalicos LTDA, RS/TupÃ£ Ind.  De Plastico Ltda",12
ANNIC LLC,APPAREL,NIKE,,"KM45 1/2, CARRETERA MASATEPE-SAN MARCOS,",MASATEPE,,,NICARAGUA,Emerging Markets,961,788,47,0.6,,,,,,13
ANNORA VIETNAM FOOTWEAR,FOOTWEAR,"NIKE, CONVERSE",,XUAN LAM COMMUNE (NGHI SON ECONOMIC ZONE),TINH GIA DISTRICT,THAN HOA,,VIETNAM,Emerging Markets,9879,9067,93,0,,,,,,14
ANTLER FABRIC PRINTERS (PVT) LTD,APPAREL,NIKE,,"NO. 170, MADAPATHA ROAD",PILYANDALA,SRI LANKA,10300,SRI LANKA,Emerging Markets,1165,913,47,0,,,,,,15
APG SRL,APPAREL,NIKE,,VIA MARCO BIAGI 1,SORGA,VERONA,37060,ITALY,Western Europe,104,55,83,27.3,,,,,,16
"APRINTA GROUP, LLC",APPAREL,NIKE,College,694 1ST WAY,ALEXANDER CITY,ALABAMA,35010,USA,North America,60,43,48,0,,,,,,17
AQUA PRO INTERNATIONAL,APPAREL,NIKE,,"BUDG.8 YUANHE SCIENCE&TECHNOLOGY INDUSTRIAL PARK2,XIANGCHENG DISTRICT",SUZHOU,JIANGSU,215133,CHINA,Greater China,25,21,73,0,,,,,,18
AQUA SEA CLOTHING CO - DISEÃ‘OS TEXTILES S. DE R.L. DE C.V.,APPAREL,HURLEY,,CALLE CAMICHIN #30,TIJUANA,BAJA CALIFORNIA,22115,MEXICO,Emerging Markets,165,140,44,0,,,,,,19
ARGEE CAPS & BAGS CORP. (SMARTGAIN ENTERPRISES CORP),EQUIPMENT,CONVERSE,,"39-A BANANA ROAD, POTRERO",MALABON,METRO MANILA,1475,PHILIPPINES,Emerging Markets,34,29,68,0,,,,,,20
ARTFX CONCORD,APPAREL,NIKE,College,244 MANOR AVE SW,CONCORD,NORTH CAROLINA,28025,USA,North America,85,70,52,0,Ed Groce,7578531703,7573736700,egroce@artfx.com,,21
ARTFX DALLAS,APPAREL,NIKE,College,11210 GOODNIGHT LANE,DALLAS,TEXAS,75229,USA,North America,70,62,60,0,Ed Groce,757-853-1703,,egroce@artfx.com,,22
ARTFX INC,APPAREL,NIKE,College,1125 AZALEA GARDEN ROAD,NORFOLK,VIRGINIA,23502,USA,North America,250,208,35,14.4,Edward Groce,757-853-1703 Ext.221,757-855-9439,egroce@artfx.com,,23
